iter	Passed	Remaining
0	1	196
1	3	157
2	4	129
3	4	117
4	5	107
5	6	100
6	7	95
7	8	94
8	9	97
9	11	100
10	12	105
11	14	105
12	15	105
13	17	106
14	19	108
15	21	112
16	23	113
17	25	114
18	27	116
19	29	116
20	29	112
21	31	110
22	32	108
23	34	108
24	36	109
25	38	108
26	39	106
27	40	103
28	42	103
29	43	101
30	44	99
31	45	97
32	46	95
33	48	94
34	49	91
35	50	89
36	51	88
37	53	86
38	54	85
39	55	83
40	56	82
41	57	79
42	58	77
43	59	76
44	61	74
45	62	73
46	63	72
47	65	70
48	66	69
49	67	67
50	69	66
51	70	65
52	71	63
53	73	62
54	73	60
55	75	59
56	76	57
57	77	56
58	79	54
59	80	53
60	81	52
61	83	50
62	84	49
63	85	48
64	86	46
65	88	45
66	89	44
67	90	42
68	92	41
69	93	40
70	94	38
71	95	37
72	96	35
73	97	34
74	99	33
75	100	31
76	100	30
77	101	28
78	102	27
79	103	25
80	105	24
81	106	23
82	107	22
83	108	20
84	109	19
85	110	18
86	111	16
87	112	15
88	114	14
89	115	12
90	116	11
91	117	10
92	118	8
93	119	7
94	120	6
95	121	5
96	122	3
97	123	2
98	124	1
99	125	0
